train,test,best_delta,nll_raw_at0,nll_raw_best,rmse_0,rho_0,rmse_best,rho_best
sdss,sdss,-0.0,-1.843906229806799,-1.843906229806799,,,,
sdss,desi,0.3,-0.6605910373915265,-0.9657033944954249,0.36141901060890147,0.3798904349484277,0.2628256823694455,0.5632329234621773
desi,sdss,-0.3,-1.3516058917120093,-1.496514345745391,0.2594135635242226,0.5162950886417802,0.21034431728029793,0.6661857672245197
desi,desi,-0.0,-1.7356866626993293,-1.7356866626993293,,,,
