line,base_scatter,oracle_scatter,twostage_scatter,base_rmse,oracle_rmse,twostage_rmse,base_rho,oracle_rho,twostage_rho,oracle_scatter_redpct,twostage_scatter_redpct
Hgamma,0.08062423478928504,0.04554515078032943,0.08133318026941694,0.0916395157217087,0.05504891506696124,0.09096476549363315,0.5285681600059826,0.8396427099637274,0.5299433234026741,43.50935435311272,-0.8793205690382777
[N II],0.09744902536501793,0.09344889316322097,0.09683454397925677,0.11080514406645406,0.10620750592248823,0.11083361997949796,0.7710452573924855,0.7917878479910827,0.769024612990641,4.104845776356958,0.6305669897256339
[S II]_{6717},0.065813203403751,0.06443518462171999,0.0656281918474429,0.0849096075365933,0.08192955161402574,0.08548174554939622,0.6091160476690025,0.6276872115143173,0.6082324362414133,2.0938333203098236,0.2811161693089148
[S II]_{6731},0.06773129565486954,0.06630415793385101,0.06650433921842394,0.09040923637452966,0.08768179046748825,0.09050470510138832,0.5112532637022632,0.5338109141381319,0.5207086683708674,2.1070580552461804,1.811505928806767
[O II]_{3726},0.16475364091026218,0.13351419697430988,0.16344759039916132,0.1772850082655099,0.14499298759424367,0.1770159208047048,0.6532199578025202,0.7878147719955705,0.6552769912865533,18.961307175583308,0.7927293769563692
[O II]_{3729},0.172812571318195,0.13664692139724322,0.17132101955900284,0.18287833296355477,0.1466451890076165,0.18377272040966347,0.67823608663204,0.8115620778807614,0.676357877869373,20.9276730535772,0.8631037359231319
[O III],0.2535022965102098,0.22862951560400707,0.24897721466647185,0.29404985203124306,0.2769375833002283,0.2929834849292882,0.5379173585759246,0.6153105562742985,0.5476495536550157,9.811659006095418,1.7850259765026188
ALL-7 pooled,0.11874112421311511,0.10117441826237511,0.11824383558111251,,,,0.7962014470888858,0.8444314253274823,0.7964604899271798,,
