direction,line,base_bias,oracle_bias,base_scatter,oracle_scatter,base_rho,oracle_rho
sdss->desi,Hgamma,0.0660685173657774,0.002377755177391916,0.10125625018203793,0.062562398196695,0.45724895406300936,0.8055492013991659
sdss->desi,[N II],-0.3923929447619478,-0.3428062125859443,0.18853702255854607,0.1776545847398625,0.642831078448056,0.6797149595407163
sdss->desi,[S II]_a,-0.18344861447802996,-0.18040422297012704,0.10695694304538877,0.11195750125641474,0.32422467199858773,0.3014547263387951
sdss->desi,[S II]_b,-0.18445985691580635,-0.1767417389811417,0.10773478396503619,0.11036543732912427,0.2947924638591123,0.2789920884948863
sdss->desi,[O II]_a,0.1366475152440759,0.04684168539034117,0.18517111693053417,0.14020231338650316,0.44326908305459817,0.7256701595867955
sdss->desi,[O II]_b,0.06268575557347084,-0.030979281749255516,0.19594859574635043,0.1502890685913283,0.48244819368963854,0.7329611696067743
sdss->desi,[O III],0.6019256078419359,0.4461835394744955,0.36874733444019575,0.3161011690116493,0.3328177750804686,0.48813364172290313
desi->sdss,Hgamma,0.04892927625290899,0.015801981867762716,0.10234435417545709,0.05150710967260676,0.30191337045652356,0.8141064384663972
desi->sdss,[N II],0.20852713674112455,0.22183752209587337,0.10563649839848785,0.1072464037261979,0.7376882058757298,0.742913673497991
desi->sdss,[S II]_a,0.09000188834657197,0.07457784585501614,0.09517098326829117,0.0928378993643408,0.29517247526575807,0.3118404086845864
desi->sdss,[S II]_b,0.12096296682931384,0.10626282571759949,0.1010613810771655,0.0998940174386724,0.23284123939235588,0.23047586505985435
desi->sdss,[O II]_a,0.0617874305459154,0.008570934155906929,0.24507693684320125,0.18118290379925656,0.1770528713309448,0.6235135561036477
desi->sdss,[O II]_b,0.06986413723844898,0.027584418945548195,0.24537211033033635,0.17814832195208435,0.3081286434970806,0.704748569858382
desi->sdss,[O III],0.3504388634215446,0.2912045344380947,0.4820102432798402,0.42348880924149734,-0.29263082081305564,0.021658489465423418
