survey,z_lo,z_hi,z_mid,n,med_NII_Ha,med_OIII_Hb
sdss,0.05,0.07,0.060000000000000005,7609,-0.46220950817443196,-0.3663560865221527
sdss,0.07,0.09,0.08,12900,-0.4661624530470867,-0.38033059312151885
sdss,0.09,0.11,0.1,4630,-0.46526983413430933,-0.3866395996756955
desi,0.05,0.07,0.060000000000000005,4689,-0.47119014707219975,-0.3352373877436907
desi,0.07,0.09,0.08,9520,-0.4920370100348306,-0.3024328814435089
desi,0.09,0.11,0.1,8703,-0.5016700648077705,-0.2722220547314471
desi,0.11,0.13,0.12,5933,-0.5075922094806096,-0.24417640841917
desi,0.13,0.16,0.14500000000000002,2552,-0.4976889309005941,-0.24003361617488395
desi,0.16,0.2,0.18,262,-0.48733381245498286,-0.18197653141534964
