nii_ha,oiii_hb,sii_ha
-1.4428857066379237,-3.9965652220260637,-1.0528204025341532
-0.753468225379379,-0.2661466459433584,-0.4823627106338987
-1.5540274387312891,-3.1763401655978782,-0.8878204922775386
-0.8722204331106198,-1.402828090623764,-1.8225553585699736
-0.6633711059148908,0.7164517342365286,-1.3712749814748515
-0.7334316531553426,0.20172462624694978,-1.2152894506488852
-0.13228846775741954,0.3781912326295469,-0.5316869731232502
-1.757799788267853,0.05236481472648085,-2.2093405199766485
-1.263104453693309,-2.7478747767061833,-0.16982013629360512
-0.1492252911612369,-6.362945558814673,-0.19556918889968092
-1.104347397818799,-0.9980419217688095,-0.9028599168191899
-1.252442846526023,-1.6827858842939207,-1.028012991075611
-1.0650342209346846,-1.3371747865844554,-1.3443316904399287
-1.3466717933535648,-1.2845549555948352,-1.9357094307130933
-1.134109515354794,-5.546599332189594,-1.053454468310939
-1.573504061041639,0.22452927582651935,-1.651795942333638
-2.084986114293798,-1.805681166569883,-0.9924724615923028
-1.0976487459029869,-0.9873215642256525,-2.6653816628076785
-0.9665964811340686,-3.0785887048877854,-1.6090614399799874
-1.2260688743690409,0.33351752256086087,-1.5636256463572251
-0.5747939368956168,-0.9156586103070765,-2.970389727939069
-0.5144711976628217,-1.3110808487199392,-1.7082185810987685
-3.1963428131684495,0.8686464051455189,-3.3427276343308554
-0.9424183119004468,0.3016026879395,-0.39799920281154655
-1.0848543996440512,-1.171881358729891,-1.7986373106128635
-2.2797778223866416,0.43675109739540124,-1.086692301062739
-1.3598415891538806,-0.6973280475925492,-0.8667427152276326
-0.24634003239540914,-3.152499216121875,-0.14471241528158957
-1.338106847578267,-4.107644327552627,-0.8693027618685032
-0.7589667257713444,-0.34284571589977725,-0.8369973594320229
-1.7560090852711596,0.3004273879548408,-0.6720646588954313
-0.6456150971338914,-2.549486443132494,-0.16978530429244504
-1.1808247471177251,0.048609956486011206,-1.610954066779849
-0.21716167382944465,-1.4487928712335858,-0.1708631079589919
